source_column,target_column
病歷編號,patient_id
檢查日期,report_date
日期,report_date
病歷號,medical_record_no
病歷號碼,medical_record_no
姓名,patient_name
病人姓名,patient_name
病患姓名,patient_name
性別,sex
出生日期,birth_date
生日,birth_date
診斷日期,diagnosis_date
最初診斷日期,diagnosis_date
收案日期,case_date
死亡日期,death_date
最近看診日,last_followup_date
最近追蹤日,last_followup_date
個案編號,case_id
癌別,cancer_type
癌別說明,diagnosis_text
ICD10,icd10_code
主診斷,icd10_code
診斷名稱,diagnosis_text
臨床TNM,clinical_tnm
病理TNM,pathologic_tnm
期別,final_stage
個案分類,case_category_label
個案分類代碼,case_category_code
主責醫師,doctor
主治醫師,doctor
醫師,doctor
執行醫師,doctor
個管師,manager
收案個管師,manager
化學治療,chemotherapy
化療填寫日期,chemotherapy_date
化學治療填寫日期,chemotherapy_date
標靶治療,targeted_therapy
標靶治療日期,targeted_therapy_date
標靶填寫日期,targeted_therapy_date
免疫治療,immunotherapy
免疫治療日期,immunotherapy_date
荷爾蒙治療,hormone_therapy
荷爾蒙治療日期,hormone_therapy_date
賀爾蒙填寫日期,hormone_therapy_date
放射線治療,radiation_therapy
放射線治療填寫日期,radiation_therapy_date
電療填寫日期,radiation_therapy_date
手術,surgery
手術填寫日期,surgery_date
TACE,tace
RFA,rfa
開單日期,report_date
看診日期,report_date
報告日期,report_date
科別,department
科別名,department
床位,location
床號,location
醫令碼,report_type
醫令名稱,report_type
名稱,report_type
結果,result
報告內容,result
來源,source
住院號,admission_no
切帳號,billing_no
醫令代碼,order_code
健保碼,insurance_code
健保歸屬,insurance_category
單價,unit_price
數量,quantity
劑型單位,dosage_unit
原始成數,original_ratio
金額,amount
執行日期-起,execution_start
執行日期-訖,execution_end
就醫序號,visit_no
健保點數1,insurance_points
成數,ratio
業績醫師,performance_doctor
申報醫師,reporting_doctor
急診起時,er_start
急診迄時,er_end
機構代碼,facility_code
住院日,admission_days
切帳日,billing_date
出院日,discharge_date
開單時間,order_time
醫令備註,order_note
年齡,age
簡稱,abbreviation
組合,combination
結案原因,closure_reason
結案日期,closure_date
計畫書日期,plan_date
計劃書日期,plan_date
病情告知日期,notification_date
多專科團隊會議日期,mdt_date
口服化療日期,oral_chemo_date
口服填寫日期,oral_chemo_date
申報醫令日期,claim_date
初次診斷日期,first_diagnosis_date
最近掛號,last_registration
最近掛號診間,last_clinic
報告類型,report_type
檢查項目,report_type
